"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","StdErr","StdDev","Comments"
"SA_0000001439","PUBLISHED","2002","EMR","AFG","","7.62","7.62000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","ALB","","4.92","4.92000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","DZA","","8.12","8.12000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","AND","","16.77","16.77000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","AGO","","7.12","7.12000","","","","",""
"SA_0000001439","PUBLISHED","2002","AMR","ATG","","12.36","12.36000","","","","",""
"SA_0000001439","PUBLISHED","2002","AMR","ARG","","16.95","16.95000","","","","",""
"SA_0000001439","PUBLISHED","2002","AMR","BOL","","19.56","19.56000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","BIH","","12.14","12.14000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","BWA","","3.68","3.68000","","","","",""
"SA_0000001439","PUBLISHED","2002","AMR","BRA","","10.50","10.50000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","BDI","","7.65","7.65000","","","","",""
"SA_0000001439","PUBLISHED","2002","WPR","KHM","","13.08","13.08000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","CMR","","4.85","4.85000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","COG","","5.28","5.28000","","","","",""
"SA_0000001439","PUBLISHED","2002","WPR","COK","","2.80","2.80000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","COM","","7.00","7.00000","","","","",""
"SA_0000001439","PUBLISHED","2002","AMR","CHL","","9.30","9.30000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","TCD","","3.27","3.27000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","CAF","","3.29","3.29000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","CPV","","6.65","6.65000","","","","",""
"SA_0000001439","PUBLISHED","2002","AMR","CAN","","15.84","15.84000","","","","",""
"SA_0000001439","PUBLISHED","2002","WPR","BRN","","12.42","12.42000","","","","",""
"SA_0000001439","PUBLISHED","2002","AMR","CRI","","10.46","10.46000","","","","",""
"SA_0000001439","PUBLISHED","2002","AMR","CUB","","13.23","13.23000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","CYP","","9.17","9.17000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","BFA","","4.81","4.81000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","BGR","","17.19","17.19000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","AZE","","6.30","6.30000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","AUT","","16.60","16.60000","","","","",""
"SA_0000001439","PUBLISHED","2002","WPR","AUS","","18.34","18.34000","","","","",""
"SA_0000001439","PUBLISHED","2002","EMR","DJI","","5.81","5.81000","","","","",""
"SA_0000001439","PUBLISHED","2002","SEAR","PRK","","14.08","14.08000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","COD","","1.91","1.91000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","DNK","","24.36","24.36000","","","","",""
"SA_0000001439","PUBLISHED","2002","AMR","BRB","","10.97","10.97000","","","","",""
"SA_0000001439","PUBLISHED","2002","SEAR","BGD","","1.39","1.39000","","","","",""
"SA_0000001439","PUBLISHED","2002","EMR","BHR","","6.67","6.67000","","","","",""
"SA_0000001439","PUBLISHED","2002","AMR","BHS","","10.76","10.76000","","","","",""
"SA_0000001439","PUBLISHED","2002","SEAR","BTN","","5.64","5.64000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","BEN","","7.97","7.97000","","","","",""
"SA_0000001439","PUBLISHED","2002","AMR","BLZ","","3.58","3.58000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","BEL","","16.71","16.71000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","BLR","","17.25","17.25000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","EST","","16.55","16.55000","","","","",""
"SA_0000001439","PUBLISHED","2002","AMR","DMA","","2.39","2.39000","","","","",""
"SA_0000001439","PUBLISHED","2002","AMR","DOM","","8.13","8.13000","","","","",""
"SA_0000001439","PUBLISHED","2002","AMR","ECU","","7.40","7.40000","","","","",""
"SA_0000001439","PUBLISHED","2002","EMR","EGY","","4.02","4.02000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","FIN","","11.34","11.34000","","","","",""
"SA_0000001439","PUBLISHED","2002","AMR","SLV","","5.35","5.35000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","GNQ","","3.27","3.27000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","ERI","","7.05","7.05000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","GIN","","5.89","5.89000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","GNB","","8.33","8.33000","","","","",""
"SA_0000001439","PUBLISHED","2002","AMR","GUY","","7.36","7.36000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","DEU","","19.58","19.58000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","GHA","","7.17","7.17000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","GRC","","13.08","13.08000","","","","",""
"SA_0000001439","PUBLISHED","2002","AMR","GRD","","15.53","15.53000","","","","",""
"SA_0000001439","PUBLISHED","2002","AMR","GTM","","2.90","2.90000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","GAB","","6.88","6.88000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","GMB","","4.74","4.74000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","GEO","","7.04","7.04000","","","","",""
"SA_0000001439","PUBLISHED","2002","EMR","IRN","","6.59","6.59000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","HRV","","21.13","21.13000","","","","",""
"SA_0000001439","PUBLISHED","2002","AMR","COL","","8.16","8.16000","","","","",""
"SA_0000001439","PUBLISHED","2002","WPR","CHN","","10.53","10.53000","","","","",""
"SA_0000001439","PUBLISHED","2002","EMR","IRQ","","5.55","5.55000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","IRL","","19.35","19.35000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","CZE","","27.88","27.88000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","ETH","","10.33","10.33000","","","","",""
"SA_0000001439","PUBLISHED","2002","WPR","FJI","","3.99","3.99000","","","","",""
"SA_0000001439","PUBLISHED","2002","AMR","HTI","","5.47","5.47000","","","","",""
"SA_0000001439","PUBLISHED","2002","AMR","HND","","8.06","8.06000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","HUN","","27.90","27.90000","","","","",""
"SA_0000001439","PUBLISHED","2002","WPR","MYS","","21.23","21.23000","","","","",""
"SA_0000001439","PUBLISHED","2002","SEAR","MDV","","6.35","6.35000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","MLI","","6.15","6.15000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","MLT","","16.63","16.63000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","ISR","","19.97","19.97000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","ITA","","14.77","14.77000","","","","",""
"SA_0000001439","PUBLISHED","2002","AMR","JAM","","14.55","14.55000","","","","",""
"SA_0000001439","PUBLISHED","2002","WPR","JPN","","14.93","14.93000","","","","",""
"SA_0000001439","PUBLISHED","2002","EMR","JOR","","14.23","14.23000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","FRA","","15.46","15.46000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","KAZ","","13.92","13.92000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","KEN","","5.38","5.38000","","","","",""
"SA_0000001439","PUBLISHED","2002","EMR","KWT","","7.47","7.47000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","ISL","","14.26","14.26000","","","","",""
"SA_0000001439","PUBLISHED","2002","SEAR","IND","","4.65","4.65000","","","","",""
"SA_0000001439","PUBLISHED","2002","SEAR","IDN","","17.30","17.30000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","ARM","","10.60","10.60000","","","","",""
"SA_0000001439","PUBLISHED","2002","WPR","LAO","","11.60","11.60000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","LSO","","4.05","4.05000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","LBR","","10.69","10.69000","","","","",""
"SA_0000001439","PUBLISHED","2002","EMR","LBY","","5.30","5.30000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","LTU","","17.30","17.30000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","LUX","","17.26","17.26000","","","","",""
"SA_0000001439","PUBLISHED","2002","WPR","MHL","","4.22","4.22000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","MRT","","8.22","8.22000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","MUS","","6.30","6.30000","","","","",""
"SA_0000001439","PUBLISHED","2002","AMR","MEX","","4.47","4.47000","","","","",""
"SA_0000001439","PUBLISHED","2002","WPR","FSM","","3.35","3.35000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","MCO","","12.95","12.95000","","","","",""
"SA_0000001439","PUBLISHED","2002","WPR","MNG","","4.59","4.59000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","ME1","","16.66","16.66000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","KGZ","","8.04","8.04000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","NLD","","18.99","18.99000","","","","",""
"SA_0000001439","PUBLISHED","2002","WPR","NZL","","20.74","20.74000","","","","",""
"SA_0000001439","PUBLISHED","2002","AMR","NIC","","9.90","9.90000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","NER","","9.97","9.97000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","NGA","","9.55","9.55000","","","","",""
"SA_0000001439","PUBLISHED","2002","WPR","NIU","","2.77","2.77000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","MDG","","7.99","7.99000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","MWI","","2.99","2.99000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","NOR","","21.29","21.29000","","","","",""
"SA_0000001439","PUBLISHED","2002","EMR","OMN","","5.23","5.23000","","","","",""
"SA_0000001439","PUBLISHED","2002","EMR","PAK","","4.40","4.40000","","","","",""
"SA_0000001439","PUBLISHED","2002","WPR","PLW","","3.48","3.48000","","","","",""
"SA_0000001439","PUBLISHED","2002","AMR","PAN","","9.59","9.59000","","","","",""
"SA_0000001439","PUBLISHED","2002","WPR","PNG","","5.81","5.81000","","","","",""
"SA_0000001439","PUBLISHED","2002","AMR","PRY","","7.25","7.25000","","","","",""
"SA_0000001439","PUBLISHED","2002","AMR","PER","","12.41","12.41000","","","","",""
"SA_0000001439","PUBLISHED","2002","EMR","MAR","","5.21","5.21000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","MOZ","","6.76","6.76000","","","","",""
"SA_0000001439","PUBLISHED","2002","SEAR","MMR","","4.66","4.66000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","NAM","","8.08","8.08000","","","","",""
"SA_0000001439","PUBLISHED","2002","WPR","NRU","","4.30","4.30000","","","","",""
"SA_0000001439","PUBLISHED","2002","SEAR","NPL","","5.71","5.71000","","","","",""
"SA_0000001439","PUBLISHED","2002","WPR","PHL","","6.35","6.35000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","POL","","20.67","20.67000","","","","",""
"SA_0000001439","PUBLISHED","2002","EMR","QAT","","6.55","6.55000","","","","",""
"SA_0000001439","PUBLISHED","2002","WPR","KOR","","6.64","6.64000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","RWA","","7.79","7.79000","","","","",""
"SA_0000001439","PUBLISHED","2002","AMR","KNA","","7.78","7.78000","","","","",""
"SA_0000001439","PUBLISHED","2002","AMR","LCA","","5.42","5.42000","","","","",""
"SA_0000001439","PUBLISHED","2002","AMR","VCT","","8.06","8.06000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","ROU","","14.01","14.01000","","","","",""
"SA_0000001439","PUBLISHED","2002","WPR","WSM","","3.39","3.39000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","SMR","","9.86","9.86000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","STP","","8.14","8.14000","","","","",""
"SA_0000001439","PUBLISHED","2002","EMR","SAU","","7.49","7.49000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","SEN","","3.78","3.78000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","SYC","","4.07","4.07000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","SLE","","9.61","9.61000","","","","",""
"SA_0000001439","PUBLISHED","2002","WPR","SGP","","20.25","20.25000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","SVK","","25.41","25.41000","","","","",""
"SA_0000001439","PUBLISHED","2002","EUR","SVN","","20.31","20.31000","","","","",""
"SA_0000001439","PUBLISHED","2002","EMR","SOM","","7.14","7.14000","","","","",""
"SA_0000001439","PUBLISHED","2002","AFR","ZAF","","11.02","11.02000","","","","",""
"SA_0000001439","PUBLISHED","2002","SEAR","LKA","","1.25","1.25000","","","","",""
