ISO code,Population,Value,Rank,
"AFG","Afghanistan","2.07","1",
"ALB","Albania","1.24","1",
"DZA","Algeria","1.96","1",
"AGO","Angola","1.85","2",
"AZE","Azerbaijan","1.47","1",
"ARG","Argentina","2.06","1",
"AUS","Australia","1.24","2",
"AUT","Austria","1.49","2",
"BHS","Bahamas","3.26","1",
"BHR","Bahrain","1.47","1",
"BGD","Bangladesh","1.03","2",
"ARM","Armenia","2.2","1",
"BRB","Barbados","4.38","1",
"BEL","Belgium","1.64","2",
"BTN","Bhutan","0.36","7",
"BOL","Bolivia,PlurinationalStateof","0.67","4",
"BIH","BosniaandHerzegovina","1.81","1",
"BWA","Botswana","0.7","2",
"BRA","Brazil","1.48","1",
"BLZ","Belize","1.3","2",
"SLB","SolomonIslands","1.95","1",
"BRN","BruneiDarussalam","1.3","2",
"BGR","Bulgaria","1.79","1",
"MMR","Myanmar","1.03","3",
"BDI","Burundi","1.75","2",
"BLR","Belarus","1.49","1",
"KHM","Cambodia","1.07","2",
"CMR","Cameroon","2.23","2",
"CAN","Canada","1.41","2",
"CPV","CaboVerde","0.73","5",
"CAF","CentralAfricanRepublic","2.5","1",
"LKA","SriLanka","1.25","1",
"TCD","Chad","2.66","1",
"CHL","Chile","1.09","1",
"CHN","China","1.16","2",
"COL","Colombia","1.43","1",
"COM","Comoros","1.15","2",
"COG","Congo,Republicof","1.27","2",
"COD","Congo,DemocraticRepublicof","1.77","2",
"CRI","CostaRica","1.23","1",
"HRV","Croatia","1.66","2",
"CUB","Cuba","1.38","2",
"CYP","Cyprus","1.98","1",
"CZE","Czechia","1.3","2",
"BEN","Benin","1.45","1",
"DNK","Denmark","1.62","2",
"DOM","DominicanRepublic","2.78","1",
"ECU","Ecuador","1.19","1",
"SLV","ElSalvador","0.83","1",
"GNQ","EquatorialGuinea","1.92","2",
"ETH","Ethiopia","2.57","1",
"ERI","Eritrea","2.61","1",
"EST","Estonia","1.53","1",
"FJI","Fiji","4.4","1",
"FIN","Finland","1.38","2",
"FRA","France","1.65","2",
"GUF","FrenchGuiana","1.62","1",
"PYF","FrenchPolynesia","2.12","2",
"DJI","Djibouti","2.6","1",
"GAB","Gabon","1.3","2",
"GEO","Georgia","2.69","1",
"GMB","TheRepublicoftheGambia","0.61","3",
"PSE","GazaStripandWestBank","2.49","1",
"DEU","Germany","1.71","2",
"GHA","Ghana","1.92","2",
"GRC","Greece","1.5","2",
"GLP","France,Guadeloupe","1.76","1",
"GUA","Guam","1.66","2",
"GTM","Guatemala","0.79","4",
"GIN","Guinea","1.18","3",
"GUY","Guyana","1.62","2",
"HTI","Haiti","1.67","1",
"HND","Honduras","1.37","2",
"HUN","Hungary","1.94","2",
"ISL","Iceland","1.36","2",
"IND","India","1.49","1",
"IDN","Indonesia","1.78","1",
"IRN","Iran,IslamicRepublicof","1.15","1",
"IRQ","Iraq","2.42","1",
"IRL","Ireland","1.6","2",
"ISR","Israel","1.7","1",
"ITA","Italy","1.43","1",
"CIV","C�ted'Ivoire","2.7","2",
"JAM","Jamaica","3.5","1",
"JPN","Japan","1.11","1",
"KAZ","Kazakhstan","1.58","1",
"JOR","Jordan","2.16","1",
"KEN","Kenya","2.28","2",
"PRK","Korea,DemocraticRepublicof","1.06","2",
"KOR","Korea,Republicof","0.68","2",
"KWT","Kuwait","1.83","1",
"KGZ","Kyrgyzstan","0.92","3",
"LAO","LaoPeople'sDemocraticRepublic","1.67","1",
"LBN","Lebanon","2.33","1",
"LSO","Lesotho","1.06","2",
"LVA","Latvia","1.96","1",
"LBR","Liberia","2.07","2",
"LBY","Libya","1.65","1",
"LTU","Lithuania","1.59","1",
"LUX","Luxembourg","1.45","2",
"MDG","Madagascar","2.07","2",
"MWI","Malawi","1.57","3",
"MYS","Malaysia","2.24","1",
"MDV","Maldives","1.86","1",
"MLI","Mali","2.86","2",
"MLT","Malta","1.22","1",
"MTQ","France,Martinique","1.9","1",
"MRT","Mauritania","1.87","2",
"MUS","Mauritius","2.19","1",
"MEX","Mexico","1.18","1",
"MNG","Mongolia","0.42","7",
"MDA","RepublicofMoldova","2.23","1",
"MNE","Montenegro","2.8","1",
"MAR","Morocco","1.86","1",
"MOZ","Mozambique","1.34","2",
"OMN","Oman","1.55","1",
"NAM","Namibia","2.59","1",
"NPL","Nepal","0.79","2",
"NLD","TheNetherlands","1.64","2",
"NCL","France,NewCaledonia","1.77","2",
"VUT","Vanuatu","0.83","2",
"NZL","NewZealand","1.51","2",
"NIC","Nicaragua","1.34","2",
"NER","Niger","2.21","1",
"NGA","Nigeria","2.86","1",
"NOR","Norway","1.13","2",
"PAK","Pakistan","2.38","1",
"PAN","Panama","1.23","1",
"PNG","PapuaNewGuinea","2.88","1",
"PRY","Paraguay","1.84","2",
"PER","Peru","0.96","3",
"PHL","Philippines","2.02","1",
"POL","Poland","1.85","2",
"PRT","Portugal","1.32","1",
"GNB","Guinea-Bissau","1.63","2",
"TLS","Timor-Leste","1.13","1",
"PRI","PuertoRico","1.58","1",
"QAT","Qatar","1.59","1",
"REU","France,LaR�union","1.3","1",
"ROU","Romania","1.98","1",
"RUS","RussianFederation","1.7","1",
"RWA","Rwanda","1.69","2",
"LCA","SaintLucia","1.8","1",
"STP","SaoTomeandPrincipe","1.82","1",
"SAU","SaudiArabia","0.93","1",
"SEN","Senegal","1.89","2",
"SRB","Serbia","2.7","2",
"SLE","SierraLeone","2.54","1",
"SGP","Singapore","2.01","1",
"SVK","Slovakia","1.9","1",
"VNM","VietNam","1.47","1",
"SVN","Slovenia","1.42","2",
"SOM","Somalia","2.97","1",
"ZAF","SouthAfrica","1.74","2",
"ZWE","Zimbabwe","2.3","2",
"ESP","Spain","1.13","2",
"SSD","SouthSudan","1.76","2",
"SDN","Sudan","2.12","1",
"SUR","Suriname","1.65","1",
"SWZ","Eswatini","1.06","2",
"SWE","Sweden","1.32","2",
"CHE","Switzerland","1.48","2",
"SYR","SyrianArabRepublic","2.91","1",
"TJK","Tajikistan","0.91","2",
"THA","Thailand","1.39","1",
"TGO","Togo","1.84","1",
"TTO","TrinidadandTobago","2.4","1",
"ARE","UnitedArabEmirates","1.7","1",
"TUN","Tunisia","1.28","1",
"TUR","Turkey","1.39","1",
"TKM","Turkmenistan","1.59","1",
"UGA","Uganda","1.38","2",
"UKR","Ukraine","1.74","1",
"MKD","NorthMacedonia","1.87","1",
"EGY","Egypt","1.89","2",
"GBR","UnitedKingdom","1.45","2",
"TZA","Tanzania,UnitedRepublicof","1.44","2",
"USA","UnitedStatesofAmerica","1.36","2",
"BFA","BurkinaFaso","2.03","1",
"URY","Uruguay","2.22","1",
"UZB","Uzbekistan","1.41","1",
"VEN","Venezuela,BolivarianRepublicof","2.04","1",
"WSM","Samoa","3.14","1",
"YEM","Yemen","1.95","1",
"ZMB","Zambia","1.12","2",
